family,level,seed,method,metric,n,mean,sd,ci_lo,ci_hi
CF1,L3,1,zero_fill,psnr_masked,300,7.712609140655395,3.471841059146255,7.319643205416399,8.10930769545173
CF1,L3,1,zero_fill,ssim,300,0.22169321634067335,0.15316174051637746,0.20454691665690572,0.23911693690293903
CF1,L3,1,zero_fill,hrp,300,3.2536778141061466,2.6827966398348155,2.9672002125283083,3.568302721939981
CF1,L3,1,bilinear,psnr,300,33.2267393548068,6.628764204782187,32.48151159526154,33.96459312582255
CF1,L3,1,bilinear,psnr_masked,300,27.99865871236132,6.628764222912208,27.25331058854434,28.753995692731976
CF1,L3,1,bilinear,ssim,300,0.9497207496646249,0.02272316220113724,0.9472280754043484,0.9522682557208876
CF1,L3,1,bilinear,hrp,300,0.7526781023542086,0.11426943471502853,0.7398163184995453,0.7654915079002579
CF1,L3,1,inpaint_telea,psnr,300,31.846078368284797,6.9434082054237765,31.083288802860068,32.64979624988806
CF1,L3,1,inpaint_telea,psnr_masked,300,26.61799771569119,6.943408208661349,25.85822320380577,27.39668615949364
CF1,L3,1,inpaint_telea,ssim,300,0.9068798368456481,0.029869353587846138,0.9034199231708592,0.9100575150202527
CF1,L3,1,inpaint_telea,hrp,300,0.6886896124482155,0.14090661822434505,0.6723354192227126,0.7044654183586438
CF1,L3,1,inpaint_ns,psnr,300,34.61764820153171,8.202868733627326,33.70810248698648,35.550051869733956
CF1,L3,1,inpaint_ns,psnr_masked,300,29.38956755217624,8.20286873049016,28.45816187313834,30.298133941974278
CF1,L3,1,inpaint_ns,ssim,300,0.9453651434777324,0.021176479570746413,0.942944632353437,0.9477860327605954
CF1,L3,1,inpaint_ns,hrp,300,0.7199578672647476,0.13145421678850627,0.7047974117572109,0.7343643782238165
CF1,L3,1,dictlearn,psnr,300,22.21792728323443,5.234531426302193,21.62455185050723,22.818661727791213
CF1,L3,1,dictlearn,psnr_masked,300,16.989846649833563,5.234531419837003,16.40434178717215,17.58781509943753
CF1,L3,1,dictlearn,ssim,300,0.5763199411973987,0.16924995508691806,0.557419498794775,0.595076831502607
CF1,L3,1,dictlearn,hrp,300,0.0,0.0,0.0,0.0
CF1,L3,1,csfr,psnr,300,35.62409392648493,8.630106152555346,34.63611963193294,36.646750228334135
CF1,L3,1,csfr,psnr_masked,300,30.3960132847879,8.630106118563159,29.453474298366906,31.360329827699278
CF1,L3,1,csfr,ssim,300,0.9502128150184306,0.022645787721684248,0.947607623100889,0.9527986472302392
CF1,L3,1,csfr,hrp,300,0.7424568302432696,0.12733397667384386,0.7280666825224955,0.7564198796252409
CF1,L3,2,zero_fill,psnr,300,12.941807702150925,3.452973542789625,12.561239073554612,13.336007086985639
CF1,L3,2,zero_fill,psnr_masked,300,7.7137270387519115,3.4529735513851607,7.321950837816567,8.106354836947729
CF1,L3,2,zero_fill,ssim,300,0.2226496000701187,0.15402752742606227,0.205381935526339,0.24074893819855644
CF1,L3,2,zero_fill,hrp,300,3.258540692528089,2.7083667455122935,2.9683574598928293,3.5702259390354154
CF1,L3,2,bilinear,psnr,300,33.23905996790036,6.60890956770779,32.50555613072165,34.002886273626835
CF1,L3,2,bilinear,psnr_masked,300,28.01097931515985,6.6089095646977265,27.258265698890334,28.780262759779387
CF1,L3,2,bilinear,ssim,300,0.9498286336582971,0.02229357110739929,0.9472324960159183,0.9523416042764486
CF1,L3,2,bilinear,hrp,300,0.7530936702092489,0.11686235892178468,0.7398620162531734,0.7662178141996264
CF1,L3,2,inpaint_telea,psnr,300,31.8698078210042,6.931302645909122,31.09692043665071,32.66761829192842
CF1,L3,2,inpaint_telea,psnr_masked,300,26.64172715783195,6.931302637690996,25.882866231880016,27.41178207785108
CF1,L3,2,inpaint_telea,ssim,300,0.9070995102139783,0.02926572999555697,0.9036477575445794,0.9102631544469316
CF1,L3,2,inpaint_telea,hrp,300,0.690179606974125,0.14248133111888914,0.6739664270977179,0.7062131027628977
CF1,L3,2,inpaint_ns,psnr,300,34.63431954421551,8.130796824173466,33.735200918441215,35.583381105756644
CF1,L3,2,inpaint_ns,psnr_masked,300,29.40623889262281,8.130796828989393,28.490888772275266,30.353176925537827
CF1,L3,2,inpaint_ns,ssim,300,0.9455175813271258,0.0204656632802473,0.9432198402855935,0.9478288064011985
CF1,L3,2,inpaint_ns,hrp,300,0.721526786784331,0.13276194401711577,0.7064192700932423,0.7362372867316007
CF1,L3,2,dictlearn,psnr,300,22.21017981033927,5.2051756667553635,21.62693235230804,22.80715995703325
CF1,L3,2,dictlearn,psnr_masked,300,16.982099157418183,5.205175660334163,16.38905728993222,17.573941450979024
CF1,L3,2,dictlearn,ssim,300,0.5764043903423841,0.16981786801814375,0.5573074971386709,0.5956495341995541
CF1,L3,2,dictlearn,hrp,300,0.0,0.0,0.0,0.0
CF1,L3,2,csfr,psnr,300,35.61531912550651,8.569276949849698,34.696711129212,36.60305108868521
CF1,L3,2,csfr,psnr_masked,300,30.38723848003334,8.569276972859237,29.431346465932823,31.35659832547329
CF1,L3,2,csfr,ssim,300,0.9502775233635108,0.02203027026176205,0.947752540767542,0.9528288656778504
CF1,L3,2,csfr,hrp,300,0.7438936341802279,0.12880951699653112,0.7292628128404418,0.7583665141711632
CF1,L4,0,zero_fill,psnr,300,10.714613054670027,3.449983433770843,10.332239319862268,11.112911520757766
CF1,L4,0,zero_fill,psnr_masked,300,7.704313100969587,3.4499834353825323,7.31767573207896,8.098461031383787
CF1,L4,0,zero_fill,ssim,300,0.1386262028956583,0.11093150776939459,0.12620488938257268,0.1514789360454269
CF1,L4,0,zero_fill,hrp,300,3.250688358147939,2.6591128177315473,2.961853181625406,3.564502275424699
CF1,L4,0,bilinear,psnr,300,29.56266854523874,5.989518075743991,28.899618526260003,30.24876716800826
CF1,L4,0,bilinear,psnr_masked,300,26.55236856413193,5.989518048515297,25.885166583569156,27.25170670144998
CF1,L4,0,bilinear,ssim,300,0.8990183375307144,0.04232727991968716,0.8943280544786405,0.9038214721204665
CF1,L4,0,bilinear,hrp,300,0.7496866013606389,0.11570160836310263,0.7364032081688444,0.7625740196083983
CF1,L4,0,inpaint_telea,psnr,300,28.879184868559047,6.814938392166555,28.11361139737019,29.64168271395197
CF1,L4,0,inpaint_telea,psnr_masked,300,25.86888491191924,6.814938392166555,25.115266831225664,26.640795396828196
CF1,L4,0,inpaint_telea,ssim,300,0.8231761919059836,0.04906807599450823,0.8174884826681684,0.8286307833511081
CF1,L4,0,inpaint_telea,hrp,300,0.6800534577667713,0.14326364599648084,0.6638864534782867,0.696024571278443
CF1,L4,0,inpaint_ns,psnr,300,31.156388333760077,7.97219999907345,30.262372936876105,32.075422924504956
