family,level,method_a,method_b,mcnemar_statistic_accuracy,mcnemar_p_raw_accuracy,mcnemar_p_holm_accuracy,ci_lo_conferr_diff_signal,ci_hi_conferr_diff_signal,ci_lo_conferr_cond_diff_signal,ci_hi_conferr_cond_diff_signal,n_valid_cond_resamples
CF3,L1,csfr,zero_fill,30.0,7.333218396948782e-05,0.0004399931038169269,,,,,0
CF3,L1,csfr,bilinear,30.0,7.333218396948782e-05,0.0003666609198474391,,,,,0
CF3,L1,csfr,telea,3.0,0.25,1.0,,,,,0
CF3,L1,csfr,ns,-3.0,0.375,0.75,,,,,0
CF3,L1,csfr,dictlearn,-4.0,0.2890625,0.8671875,,,,,0
CF3,L1,csfr,lama,1.0,1.0,1.0,,,,,0
CF3,L2,csfr,zero_fill,64.0,1.0158259578897715e-10,6.09495574733863e-10,,,,,0
CF3,L2,csfr,bilinear,64.0,1.0158259578897715e-10,5.079129789448857e-10,,,,,0
CF3,L2,csfr,telea,-7.0,0.28104151505976915,0.8431245451793075,,,,,0
CF3,L2,csfr,ns,2.0,0.8746293123804207,0.8746293123804207,,,,,0
CF3,L2,csfr,dictlearn,14.0,0.048766765904474596,0.19506706361789838,,,,,0
CF3,L2,csfr,lama,-5.0,0.5327092552361137,1.0,,,,,0
CF3,L3,csfr,zero_fill,91.0,6.08603424961975e-16,3.6516205497718495e-15,,,,,0
CF3,L3,csfr,bilinear,91.0,6.08603424961975e-16,3.043017124809875e-15,,,,,0
CF3,L3,csfr,telea,13.0,0.37768678581847837,1.0,,,,,0
CF3,L3,csfr,ns,53.0,0.0004993746338592935,0.001997498535437174,,,,,0
CF3,L3,csfr,dictlearn,2.0,0.9254349612567239,0.9254349612567239,,,,,0
CF3,L3,csfr,lama,9.0,0.5499954415754412,1.0,,,,,0
CF3,L4,csfr,zero_fill,65.0,1.231784351088763e-07,7.390706106532578e-07,-0.017,-0.001,-0.2491936562014835,-0.03387857351870378,10000
CF3,L4,csfr,bilinear,65.0,1.231784351088763e-07,6.158921755443815e-07,-0.017,-0.001,-0.2491936562014835,-0.03387857351870378,10000
CF3,L4,csfr,telea,-46.0,0.01821996086288192,0.05465988258864576,-0.055999999999999994,-0.029,-0.1545196130400212,-0.02717238459633301,10000
CF3,L4,csfr,ns,-45.0,0.009527488924274075,0.0381099556970963,-0.044,-0.019999999999999997,-0.14794653921047973,-0.0154228132579013,10000
CF3,L4,csfr,dictlearn,-9.0,0.633269582544859,0.633269582544859,-0.016,-0.0009999999999999992,-0.12343590399921991,0.025066092388661414,10000
CF3,L4,csfr,lama,-22.0,0.24763650492944295,0.4952730098588859,-0.071,-0.041,-0.2340419405448879,-0.09337694010736723,10000
CF3,L5,csfr,zero_fill,63.0,1.0114972150081562e-10,6.068983290048937e-10,-0.039,-0.016,-0.6067662625303821,-0.08115573942186864,10000
CF3,L5,csfr,bilinear,63.0,1.0114972150081562e-10,5.057486075040781e-10,-0.039,-0.016,-0.6067662625303821,-0.08115573942186864,10000
CF3,L5,csfr,telea,-91.0,4.3525237959885205e-08,1.7410095183954082e-07,-0.074,-0.043,-0.3951219984142566,0.0760646517996869,10000
CF3,L5,csfr,ns,-61.0,0.00011739081747871342,0.00023478163495742685,-0.066,-0.037,-0.4170592450049132,0.05765793738879186,10000
CF3,L5,csfr,dictlearn,10.0,0.5048025229491021,0.5048025229491021,-0.032,-0.011,-0.4128068274449768,0.09525177887246833,10000
CF3,L5,csfr,lama,-96.0,2.156647355051406e-07,6.469942065154218e-07,-0.078,-0.046,-0.460431654676259,0.015545130481571032,10000
CF4,L1,csfr,zero_fill,75.0,3.369757074208766e-15,2.0218542445252597e-14,,,,,0
CF4,L1,csfr,bilinear,75.0,3.369757074208766e-15,1.6848785371043832e-14,,,,,0
CF4,L1,csfr,telea,0.0,1.0,1.0,,,,,0
CF4,L1,csfr,ns,0.0,1.0,1.0,,,,,0
CF4,L1,csfr,dictlearn,5.0,0.266845703125,1.0,,,,,0
CF4,L1,csfr,lama,0.0,1.0,1.0,,,,,0
CF4,L2,csfr,zero_fill,68.0,3.139643327629842e-10,1.883785996577905e-09,,,,,0
CF4,L2,csfr,bilinear,68.0,3.139643327629842e-10,1.5698216638149212e-09,,,,,0
CF4,L2,csfr,telea,3.0,0.6900379657745361,1.0,,,,,0
CF4,L2,csfr,ns,1.0,1.0,1.0,,,,,0
CF4,L2,csfr,dictlearn,9.0,0.21102359760880063,0.6330707928264019,,,,,0
CF4,L2,csfr,lama,-10.0,0.09873714670538905,0.3949485868215562,,,,,0
CF4,L3,csfr,zero_fill,173.0,1.8764842703198644e-33,1.1258905621919187e-32,,,,,0
CF4,L3,csfr,bilinear,173.0,1.8764842703198644e-33,9.382421351599322e-33,,,,,0
CF4,L3,csfr,telea,10.0,0.5071267761548859,0.5071267761548859,,,,,0
CF4,L3,csfr,ns,21.0,0.1622935378691472,0.3245870757382944,,,,,0
CF4,L3,csfr,dictlearn,-26.0,0.02208271580970436,0.06624814742911307,,,,,0
CF4,L3,csfr,lama,-35.0,0.008715331145313948,0.03486132458125579,,,,,0
CF4,L4,csfr,zero_fill,123.0,8.878901605594292e-16,5.327340963356575e-15,-0.011,0.011,-0.20807497616821571,0.05623416217928411,10000
CF4,L4,csfr,bilinear,123.0,8.878901605594292e-16,4.439450802797146e-15,-0.011,0.011,-0.20807497616821571,0.05623416217928411,10000
CF4,L4,csfr,telea,31.0,0.14646952217740308,0.29293904435480617,-0.098,-0.058,-0.2356718397779469,-0.044519993793500925,10000
CF4,L4,csfr,ns,44.0,0.03843817557613914,0.11531452672841742,-0.126,-0.082,-0.29507255480252687,-0.1030928775997992,10000
CF4,L4,csfr,dictlearn,-25.0,0.1883649851700341,0.1883649851700341,-0.008000000000000002,0.013,-0.07777777777777779,0.13658307662687708,10000
CF4,L4,csfr,lama,-106.0,3.578182478206489e-08,1.4312729912825956e-07,-0.053000000000000005,-0.022000000000000002,-0.1013169083422843,0.0803916052665318,10000
CF4,L5,csfr,zero_fill,86.0,1.3081429794634149e-15,7.84885787678049e-15,-0.013999999999999999,0.003000000000000001,-0.6666666666666667,0.012991285030758658,10000
CF4,L5,csfr,bilinear,86.0,1.3081429794634149e-15,6.540714897317074e-15,-0.013999999999999999,0.003000000000000001,-0.6666666666666667,0.012991285030758658,10000
CF4,L5,csfr,telea,-37.0,0.012157915853683756,0.03647374756105127,-0.149,-0.106,-0.4043587885544407,0.14151065915216854,10000
CF4,L5,csfr,ns,-37.0,0.01717154279974242,0.03434308559948484,-0.20199999999999999,-0.154,-0.4632352941176471,0.07975576476902281,10000
CF4,L5,csfr,dictlearn,24.0,0.05152356858162233,0.05152356858162233,-0.13699999999999998,-0.095,-0.5446570584607394,-0.0011118396403148123,10000
CF4,L5,csfr,lama,-106.0,6.210668807604017e-09,2.4842675230416068e-08,-0.054000000000000006,-0.026000000000000002,-0.2600129449838188,0.30204081632653057,10000
