family,level,frac,method,n_seeds,psnr_db_mean,psnr_db_std,ssim_mean,ssim_std,hrp_mean,hrp_std,cvr_c1,cvr_c2,cvr_c3,cvr_c4,psnr_db_mean_seedstd,psnr_db_std_seedstd,ssim_mean_seedstd,ssim_std_seedstd,hrp_mean_seedstd,hrp_std_seedstd,cvr_c1_seedstd,cvr_c2_seedstd,cvr_c3_seedstd,cvr_c4_seedstd
CF2,L5,0.7,csfr_c1,3,13.404489734505537,5.218190185875865,0.2487496797070695,0.0841360955043788,1.7127764736943776,1.3092249474518176,0.0,0.007480572195749522,0.07042833116319445,0.019843478732638888,0.05130394557619649,0.052044217780035075,0.0015392805541976178,0.0038770651689824143,0.006825092978784096,0.03857829217811338,0.0,0.00011610234321328236,0.0014348172100045462,0.0002957692613701151
CF2,L5,0.7,csfr_c1c2,3,15.766445558823959,6.768095875996845,0.3608876389567451,0.14418200227827452,1.3197775697045855,1.2087414160195242,0.0,0.008334849076232382,0.0005731879340277778,0.009182942708333334,0.11289702122548875,0.10222970231230971,0.001086151591527839,0.0019729034793306054,0.010371050991983063,0.06734226529436663,0.0,0.00010680229087010572,6.407998847655942e-05,0.00013384178754180122
CF2,L5,0.7,csfr_c1c3,3,14.752627062564457,5.333261939693576,0.2837071855585556,0.09424965613971419,1.4356308267845048,1.1571724694918621,0.0,0.0069093089534241385,0.0,0.019319661458333335,0.05007781842856211,0.07273424396781726,0.0009938740512157903,0.001551721565357336,0.004635111161293865,0.03842394902248759,0.0,8.202945084091978e-05,0.0,0.0003322844692873795
CF2,L5,0.7,csfr_c1c4,3,13.433933909320764,5.393068527975072,0.25404985449327816,0.08684115886764839,1.7151926892995835,1.3737036268174474,0.0,0.009061948912082394,0.07372775607638889,0.0030178493923611114,0.06128725571845285,0.056806268873370785,0.0012543266549487635,0.004045691994103185,0.007932121473268567,0.032807301226087195,0.0,0.00030349511052597366,0.0017624623945863944,6.619812952547598e-05
CF2,L5,0.7,zero_fill,3,9.242967052861236,3.541886172102172,0.1016432249799597,0.06828149873878016,3.0944353651338155,2.369973170712381,0.0,0.029938822821972685,0.0,0.05260796440972223,0.007721203259950057,0.014197148510651725,0.0012142884247103173,0.0008084195510872931,0.009374733608698099,0.020481956397747515,0.0,0.00019938263795066472,0.0,0.0007700707536465468
CF2,L5,0.7,bilinear,3,21.173659604625584,7.329314838220735,0.4491650673695759,0.1591220556714303,0.645246527493,0.16345248095117382,0.0,0.0073764055129787376,0.0,0.009265950520833333,0.04715833870753931,0.09932197081264346,0.0011980848100068828,0.003961738523102229,0.008278354097624256,0.002616789485904795,0.0,3.8830884486749954e-05,0.0,0.00019327185548546346
CF2,L5,0.7,inpaint_telea,3,20.546023962453187,6.464081905046627,0.45759475416287804,0.12795839708373022,0.7234991659058464,0.17529678073179242,0.0,0.005678461284227929,0.0,0.006271430121527778,0.0288381752107636,0.06698041469982428,0.0013252586320649637,0.0020104067193611615,0.010494068301648188,0.0028933139332219552,0.0,6.03942523790972e-05,0.0,0.00011539612788422267
CF2,L5,0.7,inpaint_ns,3,20.541143511229023,6.562998717959588,0.4603151097136042,0.13413747552177016,0.7286768640412226,0.1730190034800099,0.0,0.006044284726619178,0.0,0.006617296006944444,0.04694761198043535,0.06700967923644348,0.00047714393590947543,0.0030522955964531677,0.0091144349035532,0.003959502468807897,0.0,6.170964794932405e-05,0.0,0.00012701976508773188
CF2,L5,0.7,dictlearn,3,18.324226337007158,5.552010068972048,0.33876263664935635,0.11611119966825277,0.02366863070262803,0.0818693282203558,0.0,0.013036265527205411,0.0,0.016701117621527775,0.0340275970193391,0.021523732085758376,0.0013270091657070567,0.0016571129171706694,0.004615294542068481,0.010984829514457976,0.0,0.0002778700873579976,0.0,0.0004209286331806005
CF3,L1,0.05,csfr,3,38.896216279759805,9.721619227726226,0.9933584821053884,0.004742856093725398,0.895554668928186,0.5828639267281541,0.0,0.020485284477957368,0.0,0.029269205729166668,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
CF3,L1,0.05,csfr_c1,3,34.59707486510899,8.730954704424814,0.9860812393985615,0.007898678009466118,0.8113652092963456,0.3586037344388356,0.0,0.020922619058304313,0.0009855143229166668,0.030541992187499995,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,3.469446951953614e-18
CF3,L1,0.05,csfr_c1c2,3,37.9684756409626,9.885393639984896,0.99213580511989,0.005425463856059104,0.8196284659703572,0.5207768699784869,0.0,0.02061094582012932,6.673177083333333e-05,0.029673665364583334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3,L1,0.05,csfr_c1c3,3,34.75606692528814,8.676296416551398,0.9863737162719436,0.007731139840377148,0.8012193397432567,0.35605212319939433,0.0,0.020881283094349782,0.0,0.030536295572916667,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0
CF3,L1,0.05,csfr_c1c4,3,33.81879540353832,9.777634087840417,0.9862078786033915,0.008121232176078783,0.9867661003023386,0.9503869195779361,0.0,0.021663773165491878,0.002132161458333333,0.0287060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0
CF3,L1,0.05,zero_fill,3,21.62761768704866,4.618259898729597,0.9592536074102394,0.009698124769991729,3.5475731223821634,5.739994295509203,0.0,0.025834986822640835,0.0,0.03470052083333333,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0
CF3,L1,0.05,bilinear,3,21.62761768704866,4.618259898729597,0.9592536074102394,0.009698124769991729,3.5475731223821634,5.739994295509203,0.0,0.025834986822640835,0.0,0.03470052083333333,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,0.0,0.0,0.0,0.0
CF3,L1,0.05,inpaint_telea,3,38.42311723761615,8.90247948657498,0.9929287560089294,0.004521783741965864,0.8994217253973087,0.5767355081141236,0.0,0.0204327876715494,0.0,0.02928466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3,L1,0.05,inpaint_ns,3,38.63634293538375,10.190609561151092,0.9929979378773468,0.004807791276986287,0.8999037729948759,0.5743998640609815,0.0,0.020441468297988954,0.0,0.029408365885416666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3,L1,0.05,dictlearn,3,34.6731696674759,9.324182473362775,0.9872168873281336,0.006738986618213459,0.9391833742873535,0.4736352106026971,0.0,0.021874035512462597,0.0,0.031900770399305556,0.23476751337953597,0.08501511110979279,0.00035342207109456133,0.00016107989337964764,0.0072483317429549495,0.027309642580348955,0.0,0.00011208090146444226,0.0,8.154370873079462e-05
CF3,L2,0.15,csfr,3,24.352853126836276,8.889385356012726,0.8988486960738568,0.035204702799548855,1.6486669158935545,4.7346713510238745,0.0,0.018348214389552597,0.0,0.02580078125,3.552713678800501e-15,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
CF3,L2,0.15,csfr_c1,3,24.148704578986138,7.577626841461888,0.8904878490853797,0.027541161342826557,1.3634142129619917,3.7405054654172383,0.0,0.018790509434426592,0.007757975260416667,0.0292919921875,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3,L2,0.15,csfr_c1c2,3,23.682997159075935,8.874152181437648,0.8914528745680216,0.037080357544233916,1.8109020572404066,5.228943333316707,0.0,0.019841683270205978,0.0002180989583333333,0.027430826822916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0
CF3,L2,0.15,csfr_c1c3,3,24.800401910074594,7.394382578765016,0.8930688001942558,0.026972724528447536,1.2574394539992015,3.7039311342282084,0.0,0.018695023203278347,0.0,0.029273274739583337,3.552713678800501e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,3.469446951953614e-18
CF3,L2,0.15,csfr_c1c4,3,23.499590363577244,7.833672559244282,0.8904752271425468,0.0273445204235936,1.5707495149970054,4.594556838930437,0.0,0.020127728273558507,0.010450846354166666,0.0247998046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CF3,L2,0.15,zero_fill,3,16.4180638908526,4.444807796909091,0.8425700112816993,0.01806995091033666,3.883696921865145,7.428702873806569,0.0,0.023534639732630844,0.0,0.031079915364583332,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
CF3,L2,0.15,bilinear,3,16.4180638908526,4.444807796909091,0.8425700112816993,0.01806995091033666,3.883696921865145,7.428702873806569,0.0,0.023534639732630844,0.0,0.031079915364583332,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0
CF3,L2,0.15,inpaint_telea,3,29.480282327869304,8.597225481736581,0.9257605945157877,0.025321616203903205,0.8359671700000763,0.47480303764673965,0.0,0.018175016615956944,0.0,0.025839029947916665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18
